,idpAgreement,acc,trustFactor,trustSurvey,workerId
192,50,80,"i have trust the predictions of our machine learning model.,",4,A248XX9O9V58EK
193,80,80,"When the prediction was opposite to mine it was apparent why this was so.  Plus the 80% score it had does not seem that high based on the information provided.,",3,A8C3WNWRBWUXO
194,50,80,"I looked at race/attractiveness first, and then the bot's suggestions. Most of hte time I trusted the bot.,",5,A212OY08MFDGU3
195,50,80,"I only used the algorithm if I had doubt, I like to trust my abilities.,",5,A1IFF4KV23FGHJ
196,50,80,"Machine learning practitioners often have to select a model from a number of alternatives, requiring them to assess.,",5,A1OZJGZOYEBD3C
197,50,80,"Good survey.,",6,A2YT9HJEU5KTYM
198,80,80,"most of the time we had same predictions but then on those that seemed \nlike a definite answer the machine chose differently like out in left field. ,",4,A3N770LD28YDL1
199,50,80,"it ignored the characteristics that people were looking for ,",4,AWGOCCOVKFBKV
200,50,50,"good survey,",6,A12V9E1PFJB558
201,50,50,"Sometimes the participant really liked their date when at first they thought they wouldnt. Even if the participant liked the date at a 7 or 8 but expected to not like them (around 2 or 3) the computer would say that they wouldnt want to see them again at all. I disagreed, if their final score is high then they would definitely want to.,",4,A1PGU0IWYPUSQ5
202,80,50,"the survey is very nice,",7,A15K078BTVWHGK
203,80,50,"I used my own assumptions based on how much the participant enjoyed his/her date and how close the percentages were based on importance (i.e., good looking, funny, etc..),",4,A3GEHH49HNJM57
204,50,80,"I am not sure the machine can account for how someone can become more attractive based on personality.  ,",2,A37R0JYAB3QEX9
205,50,80,"If I was unsure of what I would choose, I usually went with the machines answer,",4,A3VTOW7WLPTBRR
206,50,50,"I think that the model came off as trustworthy in the particularly ambiguous-feeling results such as those with a fun score of 6and a spread that's kind of close but not really to the participant's perceived desires of a date, but found it hard to believe any time the model would disagree on a date with a high level of enjoyment.,",3,A28P6WY5WP7F9Y
207,80,80,"I think the machine mostly agreed with me so I trust it.,",6,A1TA2I82B8DJSA
208,80,50,"I LIKE THE VERY GOOD SURVEY,",3,ATRNU3YBEHM96
209,50,50,"It was often very wrong from what I thought, and I trust a human more.,",3,AQ4NUYZWCDZ73
210,80,80,"I don't think the machine understands nuance.,",2,APEE4S9XXSMGC
211,80,50,"The predictions made by this machine is a trustworthy.,",4,A32WDYGNXRSKFM
212,80,50,"The machine learning model had a 50% initial success rate, so I'm unsure of it's total accuracy, and couldn't really rely on it during the task.,",3,A3DN8O93O3QJS1
213,80,50,"I didnt trust it that much considering there were many times when I it conflicted with my best judgement so I couldn't take it that seriously.,",4,A3VDG4N48AVYGQ
214,50,50,"I felt that the machine model failed to take into account certain aspects of the person's personality and how they felt of the date overall. It felt like the machine focused more on whether the participant ranked their date's traits in the same order as they preferred them.,",2,A11ZX9XUANWSAU
215,50,80,"I know that I was given the information that the machine learning model is 80% correct, but some of the predictions seemed highly unlikely based on the information I was given about the participants. Why would someone want to see their date again if they didn't like them? (\u003c5 on the liking them information) I guess I should have trusted it more though, given I disagreed with it quite often and it was at least 80% correct.  ,",3,A2GLSQQQE9UZA6
216,50,80,"my best predictions,",3,A3A1PMZDFJD218
217,80,80,"People are weird. However occasionally we fallow patterns. If it said something different I double checked my \math\, if i disagreed I disagreed.,",4,A2TH1TVKZ5Y6UZ
218,80,50,"In some of them, it just seemed as though the machine learning model was flat out wrong (Although I myself could be wrong),",3,A30W987G9S6F0G
219,50,50,"It was hard to trust the predictions after it only got 50% right in the first part, although I still used it as a guide when I was unsure because some were hard to predict on my own.,",2,AH4S22PWE826G
220,80,80,"The machine learning model was only accurate about 80% of the time which makes it unreliable to me.,",2,A38ZV8LBZ034IZ
221,50,50,"good survey,",5,A1I3ZBOV3UBWEF
222,50,50,"I think there are a lot of factors that could play in to whether they go on a date or not and no machine is smart enough to predict that accurately. ,",2,A3DQL1IS7JPEL8
223,50,50,"I feel like it didn't give much insight as to why it picked the way it did.,",4,A3FY6THWKRYN9M
224,50,80,"It often indicated people would want to see people again that didn't fulfill any of their preferred traits when they had a worse experience than predicted.,",2,ARL7HOWLEHNOP
225,50,50,"I have trust the predictions of our machine learning model.,",6,A248XX9O9V58EK
226,50,50,"If the math shows a growth then it is only fair to assume there will be a second chance, and no chance if the numbers go south but i am sure even i am wrong on assuming due to there is always things we dont see between the first and second,",4,A5SPTV3W3DP4B
227,50,50,"Interesting,",6,APUF32V1QEQPU
228,80,80,"Most of the predictions seemed reasonable, but I noticed some that didn't really make sense to me. A success rate of 80 percent is reasonably reliable though.,",6,AA8PZKO9XGCKO
229,50,80,"I think humans are more sensitive in this situation than AI,",3,A1RFH0LZHG2C1R
230,50,50,"some of the answers the machine gave i totally expected the opposite and didn't know where it got the answer from.,",4,A1UH66XLAH3SMZ
231,80,50,"I don't trust algorithms like that, I'd rather make my own choices.,",1,ACCXC5V05C9R9
232,50,80,"some don't seem to relate to some of the ratings the person gave, although usually its in the middle where I didn't agree with the prediction.,",4,A1MJVTR0PCKBWW
233,50,80,"I noticed it was pretty much spot on with the predictions ,",6,AW5O1RK3W60FC
234,50,80,"It seemed to be right most of the time, but there were some edge cases where people weren't honest on how much attractiveness mattered to them.,",5,A1K5UMQ040BJPN
235,80,50,"I don't think the AI is reliable enough, I made my own decision practically always,",2,A2VRDE2FHCBMF8
236,50,50,"The model's predictions seemed random and didn't make sense to me. And you told me that it was only 50% accurate on the first 20 questions.,",1,ACGHHDT7RY1AH
237,50,80,"i basically trust my gut ,",3,A264ZZ6XZVJMGF
238,80,50,"machine predictions can only choose based on data, they lack human intuition, gut feeling and other small human signs that can't be interpreted by a computer.,",3,A2L6GCRFAKUEXF
239,50,80,"yes, i have trust the prediction of our machine learning model.,",3,A3U02OJYNFHG27
240,80,50,"i feel like it agreed with me a lot so i'd trust it more.,",5,A3I1W58P6SIV26
241,80,50,"I do not trust its predictions because I was told that it has been only 50% accurate, which is just as bad as mere guessing.,",2,A1P3HHEXWNLJMP
242,50,50,"50% is not reliable, that's a coinflip. I can't trust a coin to always come up heads, or vice versa, so why would I trust the machine learning model in the same sense?,",2,A36A780ODXBDEH
243,80,80,"Some of the predictions were hard to understand why it predicted the way it did. ,",4,A14W79OV7SNWIV
244,50,80,"the survey is very nice,",7,A4XBIVMDZWNNT
245,50,80,"Based on the first 20 being so correct, I would defer judgement to the machine if I were ever in doubt. The machine's track record speaks for itself. ,",6,A3OV174HQJIJK8
246,80,50,"I feel like the machine learning got some really obvious ones wrong, so i went with what i thought.,",4,A1CW0W7Q2NLDDJ
247,80,50,"This is My best predict.,",5,AV588V0W6D9BJ
248,50,50,"nICE ONE,",6,AGJ5UT6CZ4A3C
249,80,80,"good study,",6,A2E9730O1S6JJM
250,80,50,"represents totally trust\n\n,",3,A2KX4U2D5MRB3S
251,80,80,"Some predictions i thought were wrong, but most seemed right.,",5,A3FTZV5B9ILQET
252,80,80,"Sometimes the machine prediction has completely wrong results, e.g. when 7/7 see/like scores should produce 'wanted to' results but opposite is seen instead.,",5,AAA96Z6PLD746
253,50,80,"Some of the machine predictions just didn't fit at all with the information in front of me.,",2,A23PSX2ZO4F65Q
254,50,80,"I trust the machine learning model to some degree because it has around an 80% accuracy.,",5,A2TLN8489YGY81
255,50,80,"I think more times than not it would be correct. ,",5,A3JUPCWYN6N6H4
256,80,80,"I trust myself more,",1,AADLI5VIU9K2I
257,50,80,"i will select the random participatents,",6,A21RGGSDIG1OO9
258,80,80,"because it is a machine and machines cant feel love,",5,AU3EV1ZS4045M
259,50,80,"i'm learning new method to see a model observations. In my daily life is used very well ,",5,AZOO1NLIYXGZ4
260,80,80,"I noticed that some of the machines recommendations didn't match the information that was provided on the screen, but overall it seemed like it make accurate predictions.,",6,A1P6LFEAY9MWAY
261,80,80,"It seems off on a few of them, a few were close calls where we disagreed,",5,A2DN53DIE3049T
262,50,80,"Sometimes even when they stats showed they got along great there was still the chance that they didn't want to see each other again.,",4,A3QOMMIZTW0XF1
263,80,50,"It did not seem to make very good predictions,",1,AU9LWTQSNY73
264,80,50,"I used the machine to kind of confirm my choices, but if it disagreed with me, I generally still went with what I thought.,",3,A2IVGLOBFOT67M
265,80,50,"it's only right half the time, and there's no way for it to factor in everything that I do,",4,A23FEELMFHLC9K
266,50,50,"I noticed that sometimes it would disagree with me even when it made absolutely no sense to me, but maybe I am missing something.,",4,A27A3Z6J7745DI
267,80,50,"Good survey.,",6,A13YOOKZFZJJ10
268,80,80,"i have trusted the prediction in our machine learning model,",4,A1CI9P0X55DOBK
269,50,80,"Sometimes it would agree with me, but there were way too many times where someone who would fairly obviously want or not want to see the date again ended up with the opposite prediction in the machine. My predictions were pretty much supported when the screen before the break said I was being 80% accurate but frequently wasn't agreeing with the machine. It didn't do too bad, but it wasn't spot-on.,",2,AHDW0M4017Z8K
270,50,50,"i go by how the person liked the date.. not by what the model wants to think,",3,A2ZD06QDBVKF59
271,50,80,"i have trust the predictions of our machine learning model.,",3,A15RTRQ5YO6AUS
272,80,50,"I was told the model was only 50% accurate and I don't know how it weighed each piece of data, difficult to trust,",2,A3HTLXAPOBCVVO
273,50,80,"It didn't seem to understand that most people will probably want to see a potential partner again if the date was rated a higher number than the participant's expectation number. ,",3,A381W4J8VWN442
274,50,50,"I think if the person gives a 6 or higher, they'll want to see them again. The machine learning thinks something different than me. I prefer my gut and my way that I would choose whether or not to see the person again.,",1,A2P5KISGDY7J28
275,80,50,"The machine learning model had the same answer as I did most of the time.,",5,A2FQQ6M82TDCVS
276,80,80,"I know that the machine only had a rate of being correct 80% of the time. ,",2,A1160COTUR26JZ
277,50,80,"There were several predictions that seemed obvious to me (the person liked their date 9 or 10 out of 10) where the machine predicted the person did not want to see the date again. I learned from that very quickly not to trust the machine.,",2,A374UTBB2JKAH0
278,50,80,"why you trust,",7,ADC98XLVHVCT1
279,50,80,"the survey is very nice,",6,A9JOPP35FOQTV
280,80,50,"The prediction tool was only correct in 50% of the cases. I would trust it more with a higher prediction rate of correct predictions.,",4,A2OZF756R5JSG4
281,80,80,"There were quite a few instances where I felt the machine didn't take something into account, like the percentage of importance placed on attractiveness or intelligence, for example.,",4,A1LE0PEWEHFOGG
282,50,50,"You told me it's only correct half the time, I think the computer is just randomly making selections,",2,A14RBE72CXZIF4
283,80,80,"GOOD SUPER SURVEY,",7,A3IBAGEKMDEGSI
284,50,80,"I felt it might have misjudged a few of them, but without actual statistics on how many times it was right vs myself I can't really make that judgement.,",4,A2EAJ7834XI2IT
285,50,80,"The machine learning algorithm predict depends more on age and race,",6,AUDASY9TFT50E
286,50,50,"It seemed 50/50. I could not tell how it was making its predictions, since they didn't seem to align with the data at all.,",1,AL8KOIH1DJ7D9
287,50,50,"usefull,",7,A41JLY0G1DFQZ
288,50,50,"i evaluated each participant by  considering each factor and then evaluating them as a whole like the race importance in collaboration with the other characteristics, i feel the machine did not this accurately,",4,A3AY99R13A7Y1A
289,50,50,"As a female, I already know that if another female has any positive or interested feelings for a male, she'll probably see her date again. The machine does not have this life experience. A female knows in the first .0005 seconds if she's into dating/hooking up/seeing a date again. So I had to disagree with the machine a few times when it the female on the date said she enjoyed her date, but the machine predicted she would not see her date again.,",4,A2I43BDUPAM00C
290,50,50,"I thought some of the machine learning predictions were fairly obvious and those of course I agreed with. When it came to the more borderline cases I thought some of the recommendations were off so I reexamined the data to see if there was something I was missing and that didn't appear to be the case. So I trusted the MLM on the obvious cases, made my own decisions on the more borderline cases. ,",4,A168B0VAQ1RXKB
291,50,50,"Predictions are truth of our machine learning model.,",6,A3D2B1JLGL2LPZ
292,50,50,"A machine cannot be an expert in emotional problems.,",5,A1PHDT66U6IK4Q
293,50,80,"It seemed like it was only 80% accurate and when the date exceeded the person's expectations, it would disagree more often that it should that they would want to see the other person again.,",3,A3EUGO4VR2N4G1
294,50,50,"represents totally trust,",2,A32LE7L4GZMI2D
295,80,50,"nothing,",6,A1KARJPNIVINRV
296,50,80,"They were some occasions that the machines prediction could not have been correct, so I lost trust in its predictions ,",3,A23I2KKW476D7X
297,80,80,"I think that machine learning model was pretty accurate, but sometimes it gave surprising results (when a person gave highest ratings and machine learning model thought he would not go on the date again...). I think the information about 80% correctness was accurate. Thank you!,",5,A9WIOFVRSYW3L
298,80,50,"I think the machine learning model is going by statistics but not too much by presumption of what human beings do.,",2,A2ML4TEAJTDQD0
299,80,80,"I'm on the fence about it. A majority of the time we have the same predictions, however when we do differ, I feel like I'm thinking about things more from the humans' perspective regarding what the potential daters would be thinking.,",4,A1RG62CQTBUGM0
300,80,50,"Some of the data put together can be very subjective which is why I would think the system would NOT be very reliable.,",4,A2Y0WNHMT4PZ4C
301,50,80,"I trust the machine learning because it takes into account all numbers and attributes to make a sensible choice but i also feel that it doesn't see the big picture with some choices.,",5,A196XR61DIW5GU
302,80,50,"In some predictions that I think are obvious, the machine did not have the same conclusion as me.,",4,A2CISHIOILFDHN
303,50,80,"I didnt think it was right as often as a human would be. Mostly because it cant think about it in a human way. humans will often settle for less than what they want,",4,A1NR3COO33J99C
304,50,50,"I trust the feedback of the actual person grading the date more than the machine model and sometimes it was way off,",1,A1VMPZVVVZUCS4
305,50,50,"I didn't know which criteria it was evaluating or putting the most weight on, so it was hard to trust it. I was also told more than halfway through that it was only right 50% of the time and I think I agreed with the machine a lot of the time (or it agreed with me) so I really started questioning my own predictions since I knew it wasn't that perfect.,",2,A1Q4ZOXZ0Y7K6I
306,50,80,"There were some situations, where I really had to think about whether or not they would want to see their date again, so during those situations I would take what the prediction of the learning model said into consideration.,",5,A7OZPNXIVO1FX
307,50,50,"It was 50% correct in the first block, so I can't put too much trust in its recommendations.,",4,A1WR3WTEHJEY2D
308,80,50,"the survey is very nice,",5,AHYP9A9MQT00F
309,50,80,"the very inserting in the answer,",3,A1SZHQPX3UV5BM
310,80,50,"Sentiment analysis models detect polarity within a text (e.g. a positive or ... Here's how a machine learning classifier can be implemented ... Imagine the responses above come from answers to the question What did you ... Positive â€œAmericans trust @realDonaldTrump to Make our Economy Great Again,",6,AIVCONP5S4OKQ
311,50,50,"I made this selection because I believe that the machine is only correct about half of the time. Therefore, I can't solely rely on it and I must use my own judgement at times though I am not at expert at making these types of decisions.,",4,A1RATFICCKLCQ
312,80,50,"Some of the recommendations seem off. I don't think the machine learning model is very well trained.,",3,AROZ6EDDUGTLP
313,80,80," represents totally trust,",2,A2YD1EW0UXMARZ
314,80,50,"It seemed like it was right most of the time.,",6,AL36KBFL3ORCD
315,50,50,"With the exception of a few, the model agreed with my choices which leads me to be more trusting of the predictions it makes. ,",5,AXYC1MB6XJ978
316,50,50,"represents totally trust ,",6,A3JKTMLUUCR46A
317,50,50,"I think humans are better judge of something like this, but who knows,",2,A60NQZ1KE5U8T
318,50,50,"yes i hove trust predication of our machine learning model,",3,A1IA0LI13Y1RLE
319,80,80,"Very interesting,",6,A122LKXH2UEZJX
320,80,80,"very good,",4,A30TZNE2ONAOEA
321,50,50,"Models can't really predict human emotions and feelings in my opinion.,",3,A2REBBMVBFBWFD
322,80,80,"I think there were some instances where the machine was completely wrong,",6,A1S315FYTGY9GL
323,50,50,"I think I know people better than a machine.  I think I did a better job.  It will be interesting to see the results.,",2,A7ERZELTAMWL5
324,50,50,"The model was somewhat compatible with my interpretation of the data.,",4,A314XJY8V1YL12
325,80,80,"The machine model made some predictions which are feel were mistakes, so I did not really trust it that much. ,",3,A2CWNRI11XJ7WX
326,50,50,"It got too many wrong for me to be completely trustworthy,",4,A345VDWYMDWTGD
327,50,50,"If I relied on it I would be redundant and I have no knowledge of it's overall accuracy (50% may not be true)\n,",1,A36O6HV8LCXLJR
328,50,80,"The model seemed to rely on some of the same factors I did like race and the ratings the person applied.  It seemed to follow the same logic I was using. ,",5,A2X3FSFHV5GHJU
329,80,50,"It can probably read the numbers better than I can. But Sometimes that doesn't always mean anything,",4,A1NRIT5DE3TBID
330,80,80,"I don't know, It just doesn't feel like it accounts for certain common-sense things. Perhaps attractiveness is a dealbreaker, regardless of date quality? The model doesn't seem to account for that.,",5,A2R1TM9CS8OAL
331,50,80,"Some of them felt kind of off to me, but at the same time an eighty percent correct rate is pretty good.,",5,A23BMD8M0RLV77
332,80,50,"the machine calculated the happiness of the participant and i guess it is innovative,",6,A3V1IC4MJ0F6JH
333,80,80,"I think it can't look at the numbers in a holistic way (hard to explain). It got some wildly wrong, but seemed to be correct some majority of the time.,",5,APQ5K76HIG41P
334,50,50,"It is based on an algorithym which is not always human nature.,",6,A24WVG86YLB7QK
335,50,80,"i feel like the machine knows some but not 100%like a person may,",5,A38K45F4I17TKB
336,50,50,"Sometimes I felt my analysis was correct when the machine thought the opposite.,",5,A3H35QRODK1C4K
337,80,80,"It's seemed like it might be somewhat accurate but not really perfect.,",5,A38DXFI1TZA295
338,50,80,"There were some ratings that I thought did not support what the machine predicted. ,",3,A1JJYY622DGE5L
339,80,80,"On several of the examples, the machine learning model made, what I believed to be, questionable choices. I could not determine the logic of those choices based on the given data, so I do not entirely trust their predictions.,",4,AK1Q45RF8A87Z
340,80,80,"i have no information or parameters on how the AI predicts so I am not completely convince.,",4,A3F51C49T9A34D
341,80,80,"There were times when I felt that the model did not take into account all potential variables. Often times I found the model disagreeing with my prediction. After 20 evaluations I was told that I had been correct 80% of the time. Given that the model had disagreed with me a fair amount of times during those 20 evaluations, I lost some faith in the models ability.,",4,A1BWS5AD2T4NIR
342,80,50,"i like it,",4,A1REVLWT8LRNC6
343,50,50,"The predictions seemed not to be based upon information from the table.,",3,A1DUPOUC9RNU4L
344,80,80," represents totally trust\n\n,",3,A1ZJLRH64XQTUV
345,50,50,"I can't know for sure without knowing if I did better than the machine or not but it seemed to me on many that were obvious to me the machine disagreed so that made my trust in it low.,",3,A1TMZLYXQAK8Q0
346,50,50,"It gave answers randomly it seemed like it did not look at the info given,",2,A1XQPDHAN5IY0R
347,80,80,"The model seemed to be obviously and completely wrong in at least a few cases such that even if it's right 80% overall, I don't trust it ,",1,A2T3N9U2VPSFUM
348,50,80,"There were multiple times where the person rated their date a 10/10 and the machine learning model said they would not want to see them again which I disagree with.,",1,A1G7GSCKWC9UBC
349,50,50,"Because it just didnt make sense when i looked at the graphs. I dont see how the machine came to those conclusioons according to the results. ,",4,A3SCEKR5XEWDRU
350,80,80,"There were a couple where I disagreed and didn't see a major reason why they wouldn't want to see the date again.,",5,ASUYD8BPYM85M
351,80,80,"I have some trust in it, but it was wrong a decent amount of time so it was just a tool I could do without unless I was really torn on it.,",4,A1YVMDRR9W1LZ1
352,80,50,"This is a model developed by experienced people who have many years of knowledge so I trust it to a degree.,",5,A6KB4VHCZYTY2
353,50,80,"I think sometimes when the ratings were high the machine gave \didn't want to see\ recommendation, which I don't think that is right. So I just pick the option I think is right to me. ,",3,A1MNVFRIMBY6SI
354,80,80,"Sometimes it made no sense especially looking at what was valued by the person and what those values were rated.  I don't thnk an 80% accuracy is all that good to be honest and trusted my own judgement all but one time.  One time it disagreed with me and I was on the fence originally so I changed it over but most of the time I stayed with my judgement even when it disagreed with me.,",4,A3862RIFFUV141
355,50,80,"Based on the factors given to consider I do believe the I was right many of the times and as you said it was right 80%. I trusted myself more.,",5,A2OX8TSRCU6NKD
356,50,50,"Very joyful,",5,A36V0PTWIU6RY4
357,50,50,"For at least 25% of the questions, the machine disagreed with me for a very easy prediction (I was VERY sure of my response) and after that, I could never trust it. However, if I was really on the fence, I might go with it because sometimes it did agree with me when I was pretty sure I was right.,",2,A2UCTX06NM6Y02
358,80,50,"There were some occasions where it had a different conclusion than me in what seemed like a pretty clear evaluation.,",4,A1GV1WGA3W6CLG
359,80,50,"it was right 50% of the time given the information,",4,A2N8FYNKM133KF
360,80,50,"it seemed right a little more then half the time so i trusted it a bit,",2,AZJVAP536DY13
361,80,50,"In the first half it was disagreeing with me that they'd want to see their date again when the candidates ranked the date 10 across the board. Could not trust it after that.,",2,A1R49MZPMBC5Z6
362,80,50,"i felt at times it did not represent the numerical data shown in the information giving. section 4 was the main element i used to make the decision in whether the individual wanted to see their date again, at times it was really obvious and the machine still disagreed with numerical confirmation of the data wanting to see their date again.,",3,A2NMLTECRDWFN2
363,50,50,"I am not a fan of AI honestly. ,",3,A3N66DKF3VNB9X
364,80,50,"I think, to lift our eyes above the any standard, is the supreme problem before our country and the world,",7,A1BFY9EY3HQITG
365,80,80,"I trust they have a further programmed understanding of pairing individuals than the average person.,",5,ANMMPQMC021PG
366,50,50,"The predictions from the machine seemed about as good as I was at scanning before and after data.,",7,A2OYA9178RSQ5W
367,50,80,"As a human, I tend to give most people the benefit of doubt. I don't think the machine is capable of that. ,",4,A1ZCP2OQXOMAHN
368,50,80,"Because machine can make mistakes, I would rather rely on my own predictions and be wrong than machine.,",4,A22BBAU24IEHPL
369,50,50,"It was often incorrect, and seemed to ignore how much the participant liked his/her date.,",3,A5PKYZJRK1ZFW
370,80,80,"I think you should trust the model because it was stated earlier that it can be 80% accurate and I feel it mostly agreed with me.,",4,AKR9067Q09RZS
371,50,50,"I didn't entirely trust the machine learning model as it was not aligning with my own judgment.  I felt like maybe it wasn't rating things as accurately as I was.,",3,A1AXN8VOE1LBL3
372,80,50,"I will give best predictions to my knowledge.,",6,A3AABE5BYIJZ8X
373,80,50,"There were times it obviously made the wrong choice when high values were given across the board.,",1,A3LPHYONE222OY
374,80,50,"very good predictions,",7,A1N0RSPRK548N2
375,50,50,"because i feel like a second date has to more with feelings instead of data,",1,A12TEFCQRSHNNI
376,80,80,"My best predict.,",5,AV588V0W6D9BJ
377,50,80,"I found it to pretty much agree with me in the second half.  When it did not agree with me, I was able to identify clear reasons I may have been wrong for the most part.,",6,A37Q4O126A4RNA
378,80,50,"In some ceases I think there is a great chances that the person would like the opposite sex but the machine disagrees....!,",5,A3SZF91DCOQPW3
379,50,50,"IF the model was only right half the time throughout the first 20 questions, then chances are high it was not all that accurate for all 31 questions. However, there were a couple of times that I had to look again at what was presented to make a final decision in light of what the model suggested. ,",3,A2W3Q8OCO18HEN
380,80,50,"I feel the machine made mistakes when it was obvious. Mostly we agreed though.,",4,A1Q07N0ONFDIT7
381,50,50,"I am kind of weary of how accurate it is. ,",4,A38YQZ9UK9BPK2
382,50,80,"I went with how high the person rated the person themselves. Not the prediction models. I did not pay attention to them. I felt it was off a lot. ,",4,A3O0EYFA3CCZ92
383,50,50,"The learning model often ignored how much the person placed importance upon appearance. If the person did not give the other individual a very high appearance reading, the machine learning model still indicated that he or she would want to see the other person again. If the person did not give the date a very high rating, machine learning model still indicated that they would want to see each other again. I disagreed.,",2,A19TD2J8506A4Y
384,50,50,"It was clearly wrong multiple times, so why should I trust it?  It's no better than the flip of a coin.,",1,A1PSYKZRKMGD6M
385,80,50,"Half the time the machine was correct.,",4,AP4FDDWBJW47O
386,80,50,"I just thought a robot could not tell as good as a person can.,",3,A2AY4ZM3Y9BTYZ
